SpectraSmart Spectrum 2.10.0.0
--------- Device Information -----------
Spectrum Name : ,Spectrum_0
Saving Time : ,2024/06/18 18:23:30
Spectro-Module Model Name :,EE2063S-DUVN4
Spectro-Module Serial Number :,TEST-INSTRUMENT-001
Wavelength Start :,285
Wavelength End :,1100
Wavelength Unit :,Wavelength(nm)
Spectrum Unit :,Intensity(Counts)
MB Temperature(°C) :,NA
TEC Temperature(°C) :,-6.80 °C
-----------Spectrum Setting ------------
Integration Time :,8ms
Average :,50
Boxcar :,0
Background removal :, enabled
linearity correction :, enabled
SC :, disabled
Intensity correction :, disabled
DWT denoise :, enabled
savitzky-golay :, disabled
FFT :, disabled
Running average :, disabled
Kalman :, disabled
High pass :, disabled
---------------BEGIN--------------------
Wavelength(nm)      ,   Intensity(Counts)
632.39,       827.4453
632.83,       827.3249
633.26,       827.5844
633.69,       827.9584
634.12,       828.0342
634.55,       827.7098
634.98,       827.1476
635.41,       826.5516
635.84,       826.2333
636.27,       826.2663
636.70,       826.5153
637.14,       826.8538
637.57,       827.0888
638.00,        827.164
638.43,       827.1824
638.86,        827.139
639.29,       827.0174
639.72,       826.8484
640.15,       826.6091
640.58,        826.478
641.01,       826.7587
641.44,       827.4542
641.87,       828.4275
642.30,       829.3365
642.73,       829.6326
643.16,       829.1993
643.59,       828.2358
644.02,       827.0087
644.46,       825.9596
644.89,       825.2515
645.32,       824.7607
645.75,        824.493
646.18,       824.4446
646.61,       824.5637
647.04,       824.8724
647.47,       825.1676
647.90,       825.1013
648.33,       824.6165
648.76,       823.8036
649.18,       822.9289
649.61,       822.4441
650.04,       822.4608
650.47,       822.8447
650.90,       823.3869
651.33,       823.7416
651.76,        823.809
652.19,       823.7068
652.62,       823.5466
653.05,       823.5029
653.48,       823.6309
653.91,       823.8544
654.34,       824.1382
654.77,       824.4427
655.20,       824.7413
655.63,       825.0554
656.06,       825.3568
656.49,       825.5923
656.91,       825.7566
657.34,       825.8615
657.77,       825.9548
658.20,       826.1196
658.63,       826.3762
659.06,       826.7031
659.49,       827.0581
659.92,       827.3716
660.35,       827.6206
660.77,       827.8125
661.20,       827.9614
661.63,       828.1115
662.06,       828.2399
662.49,       828.2845
662.92,       828.2496
663.35,       828.1181
663.77,       827.9507
664.20,       827.9307
664.63,        827.933
665.06,       827.7453
665.49,       827.3882
665.92,       826.8279
666.34,       826.7227
666.77,       828.1323
667.20,       831.0712
667.63,       835.0897
668.06,       838.7906
668.48,       839.9761
668.91,       838.2079
669.34,       834.1918
669.77,        829.407
670.19,       826.2579
670.62,       825.4453
671.05,       826.3469
671.48,       828.0209
671.91,       828.8897
672.33,       828.5203
672.76,       827.4887
673.19,       826.3898
673.62,       826.1195
674.04,       826.8771
674.47,       828.1863
674.90,       829.6398
675.32,       830.6871
675.75,       831.1207
676.18,       831.1581
